scorer,DLC_resnet_50_10_tankJan16shuffle1_1030000,DLC_resnet_50_10_tankJan16shuffle1_1030000,DLC_resnet_50_10_tankJan16shuffle1_1030000,DLC_resnet_50_10_tankJan16shuffle1_1030000,DLC_resnet_50_10_tankJan16shuffle1_1030000,DLC_resnet_50_10_tankJan16shuffle1_1030000
bodyparts,head,head,head,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood
0,319.6985168457031,109.71019744873047,0.9999996423721313,263.8839416503906,119.15826416015625,0.9999985694885254
1,320.2005615234375,109.86891174316406,0.9999997019767761,263.8839416503906,119.25089263916016,0.9999991059303284
2,320.2005615234375,109.86891174316406,0.9999995827674866,263.8839416503906,119.2574691772461,0.9999988079071045
3,320.2005615234375,109.83666229248047,0.9999995231628418,263.7242431640625,119.25089263916016,0.9999984502792358
4,320.19390869140625,109.86891174316406,0.9999996423721313,263.5756530761719,119.25089263916016,0.9999984502792358
5,320.1790771484375,109.85735321044922,0.9999996423721313,263.5756530761719,119.23391723632812,0.9999985694885254
6,320.1465148925781,109.83666229248047,0.9999995827674866,263.5756530761719,119.19730377197266,0.9999979734420776
7,320.1465148925781,109.85735321044922,0.9999995827674866,263.47515869140625,119.19730377197266,0.999998152256012
8,320.1465148925781,109.87517547607422,0.9999996423721313,263.47515869140625,119.19730377197266,0.9999977350234985
9,320.1757507324219,109.85735321044922,0.9999995827674866,263.47515869140625,119.19730377197266,0.9999982118606567
10,320.1757507324219,109.8497543334961,0.9999996423721313,263.47515869140625,119.2225570678711,0.9999978542327881
11,320.1757507324219,109.8497543334961,0.9999995827674866,263.47515869140625,119.3083267211914,0.9999984502792358
12,320.1757507324219,109.756103515625,0.9999995231628418,263.3965759277344,119.39942932128906,0.9999964237213135
13,320.1757507324219,109.73662567138672,0.9999995827674866,263.7026672363281,119.41980743408203,0.9999963045120239
14,320.13555908203125,109.73506927490234,0.9999996423721313,263.6576843261719,119.62161254882812,0.9999970197677612
15,320.17584228515625,109.73126220703125,0.9999996423721313,263.5608825683594,119.56818389892578,0.9999970197677612
16,320.17584228515625,109.72257232666016,0.9999995827674866,263.5608825683594,119.56818389892578,0.9999973773956299
17,320.14715576171875,109.7203598022461,0.9999995827674866,263.5608825683594,119.56818389892578,0.9999971389770508
18,320.1458740234375,109.69862365722656,0.9999995827674866,263.5142517089844,119.5413589477539,0.9999973177909851
19,320.1458740234375,109.69862365722656,0.9999995827674866,263.4632873535156,119.5413589477539,0.9999974966049194
20,320.1458740234375,109.69862365722656,0.9999996423721313,263.4632873535156,119.5413589477539,0.9999976754188538
21,320.14715576171875,109.69165802001953,0.9999995827674866,263.4632873535156,119.56908416748047,0.9999972581863403
22,320.1347961425781,109.70310974121094,0.9999995827674866,263.5436706542969,119.58682250976562,0.9999974966049194
23,320.13226318359375,109.71916198730469,0.9999996423721313,263.5458984375,119.58867645263672,0.9999978542327881
24,320.09954833984375,109.73600006103516,0.9999995827674866,263.5710144042969,119.64192199707031,0.9999972581863403
25,320.0783386230469,109.73600006103516,0.9999995827674866,263.5710144042969,119.67101287841797,0.9999970197677612
26,320.04705810546875,109.75090026855469,0.9999996423721313,263.5710144042969,119.67101287841797,0.9999972581863403
27,320.04705810546875,109.73600006103516,0.9999996423721313,263.52020263671875,119.67101287841797,0.9999975562095642
28,320.04705810546875,109.73346710205078,0.9999996423721313,263.52020263671875,119.67101287841797,0.9999970197677612
29,320.056396484375,109.71391296386719,0.9999995827674866,263.52020263671875,119.68729400634766,0.9999969005584717
30,320.056396484375,109.67353057861328,0.9999995827674866,263.61865234375,119.68729400634766,0.9999966621398926
31,320.1336669921875,109.66990661621094,0.9999995827674866,263.61865234375,119.68729400634766,0.9999958872795105
32,320.140625,109.52407836914062,0.9999995231628418,263.61865234375,119.67703247070312,0.9999966025352478
33,320.140625,109.52407836914062,0.9999997615814209,263.6663818359375,119.59928131103516,0.9999970197677612
